Số báo danh,Toán,Văn,Ngoại Ngữ,Lý,Hoá,Sinh,Sử,Địa lý,GDCD
01000240,8.4,7,4.5,-1,-1,-1,7.5,7.4,7.5
01000241,8,9,8,-1,-1,-1,6.75,7.8,7.75
01000242,7.8,7,8.5,-1,-1,-1,8,8.4,8.5
01000243,8.4,8.75,9,-1,-1,-1,8,9,9
01000244,8.4,4.75,8.4,9,4.25,7,-1,-1,-1
01000245,8.6,8.25,6.25,-1,-1,-1,5.75,7.6,8.25
01000246,7.2,8.5,7.75,-1,-1,-1,8.5,6.8,9
01000247,7.8,5.25,8.6,6.5,4,6,-1,-1,-1
01000248,6.8,8,7.75,-1,-1,-1,7.25,8.2,8.5
01000249,9,8.75,7,-1,-1,-1,9.25,9.6,9
01000250,8.8,6.5,9.2,8.75,3.5,6,-1,-1,-1
01000251,8.8,9.75,9.4,8.75,5.25,7.25,-1,-1,-1
01000252,5,6.25,5.25,-1,-1,-1,5.75,3.2,8
01000253,8.4,8.5,8.75,-1,-1,-1,8,8.2,9.25
01000254,8.4,7.5,9,8,4.5,5.5,-1,-1,-1
01000255,7.4,9,7.25,-1,-1,-1,8,8.2,8.5
01000256,8.2,8.25,8,3,5,7.75,-1,-1,-1
01000257,7.4,8,6.75,-1,-1,-1,5.75,8.6,8.25
01000258,6.8,-1,5.2,4.5,4.5,-1,-1,-1,-1
01000259,5.8,7.75,7,-1,-1,-1,6.5,5.2,6.5
01000260,8.2,5.5,8.4,6.5,5.25,6.75,-1,-1,-1
01000261,8,7.5,7.75,-1,-1,-1,7.25,7.8,8
01000262,4.8,6,8,-1,-1,-1,7.5,4.6,9
01000263,7.6,6,6.2,5,4.25,6,-1,-1,-1
01000264,6.6,6.75,-1,-1,-1,-1,6.75,8.25,7.5
01000265,7.6,6.75,6.5,-1,-1,-1,6.75,7.4,7.25
01000266,9,8,7,-1,-1,-1,7.25,9.6,7.75
01000267,2.4,7.25,4.5,-1,-1,-1,5.5,3.4,6.75
01000268,7,8.5,7.5,-1,-1,-1,7,7,8
01000269,1.6,4.75,-1,-1,-1,-1,6.5,6,-1
01000270,6.6,7.5,7.25,-1,-1,-1,6.25,8.4,8
01000271,7.6,7.75,6.75,-1,-1,-1,6,8.2,8
01000272,2.6,7.25,9.25,-1,-1,-1,9.25,6,7.5
01000273,7.6,5,9.2,7.25,4.5,6.25,-1,-1,-1
01000274,9,8,8.25,-1,-1,-1,7,7.8,8
01000275,-1,6.5,-1,-1,-1,-1,5.75,6.5,-1
01000276,6.8,8,8.25,-1,-1,-1,7,7.4,9.75
01000277,-1,4.75,-1,-1,-1,-1,5.75,6.25,-1
01000278,8.6,6,8.2,8.25,5.75,7.25,-1,-1,-1
01000279,8.4,6.25,6.4,6.25,5.75,6.25,-1,-1,-1
01000280,7.4,6.75,6.25,-1,-1,-1,6.5,3.4,8
01000281,9,7.75,6,-1,-1,-1,6.75,7.8,8.75
01000282,7.6,7,5,-1,-1,-1,6.25,5.4,5.75
01000283,7.8,6.67,4.75,-1,-1,-1,6.75,4,7
01000284,7,8.25,6,-1,-1,-1,7.5,7.6,8.25
01000285,9.2,7.75,9,9.25,6.25,6.5,-1,-1,-1
01000286,4.2,4,-1,-1,-1,-1,6.25,7.25,-1
01000287,7,8,6,-1,-1,-1,6.25,9,8.25
01000288,8.4,8.5,7.75,-1,-1,-1,7.5,8.8,8.5
01000289,7.6,8.5,4.25,-1,-1,-1,6.5,8.4,7.75
01000290,9,4.5,9.4,8.5,4.75,7.75,-1,-1,-1
01000291,7.2,7.75,5.75,-1,-1,-1,7,7.2,8
01000292,6.8,3.75,7.4,4.5,3.75,6.5,-1,-1,-1
01000293,8.8,2.5,9.2,7.5,4.5,5,-1,-1,-1
01000294,8.2,6.5,9.2,8.25,5,3.75,-1,-1,-1
01000295,3.8,4.25,-1,-1,-1,-1,5.75,6.25,-1
