Số báo danh,Toán,Văn,Ngoại Ngữ,Lý,Hoá,Sinh,Sử,Địa lý,GDCD
01072113,3.4,4.75,4.25,-1,-1,-1,5,2.6,5.5
01072114,7.8,7,6,-1,-1,-1,6.5,3.2,9
01072115,6.2,6.25,8.25,-1,-1,-1,6.25,3,9.5
01072116,7.4,4.5,5.75,-1,-1,-1,6.5,7.6,7.75
01072117,8.6,8.25,9.25,-1,-1,-1,7.75,4.4,7.75
01072118,8.8,8.75,6.2,9.5,4.5,6.25,-1,-1,-1
01072119,5.2,5.75,7.5,-1,-1,-1,6.5,3,8
01072120,2.2,4.25,5.5,-1,-1,-1,5.5,3.2,9
01072121,4.4,5.25,6.25,-1,-1,-1,7,2.4,7.75
01072122,7.4,2,6.8,8,3.75,5,-1,-1,-1
01072123,6.8,7,6.25,-1,-1,-1,5.5,2.8,7.25
01072124,8.4,3.75,8.6,8.5,3.25,6.75,-1,-1,-1
01072125,2.2,2.75,2.5,-1,-1,-1,2.75,2.2,5
01072126,7.4,7,5.6,6,5,6.75,-1,-1,-1
01072127,8.6,7.75,4.6,7.25,5,5.25,-1,-1,-1
01072128,8.2,4.75,8.8,8,3.25,5,-1,-1,-1
01072129,6.8,6,8.5,-1,-1,-1,7,3.8,8
01072130,7.4,8,5,4.5,6,7,-1,-1,-1
01072131,7.8,7.5,3.6,7.75,3.75,4.25,-1,-1,-1
01072132,4,7.5,8.5,-1,-1,-1,7.5,3.2,8.75
01072133,8.6,8,2.4,8.25,4.25,6.5,-1,-1,-1
01072134,8,6.25,7.5,-1,-1,-1,8.25,4.8,8.5
01072135,6.2,6.75,5.75,-1,-1,-1,6,1.2,7.75
01072136,6,3.75,7,6.25,4.5,6.25,-1,-1,-1
01072137,7.4,6.75,6.5,-1,-1,-1,8,6.6,8.5
01072138,4,5,7.25,-1,-1,-1,6.25,2.8,8.75
01072139,7.2,6.25,4.75,-1,-1,-1,7.25,3.6,8
01072140,4.2,7.25,6.75,-1,-1,-1,6.5,4.8,7.75
01072141,6.2,7.25,7,-1,-1,-1,7,4.8,9.25
01072142,4.4,6,3,-1,-1,-1,5.5,3.6,7
01072143,6.2,5.25,6,-1,-1,-1,6.5,5.4,8
01072144,6.4,8,7.75,-1,-1,-1,7.25,3.8,9
01072145,6,7.75,9,-1,-1,-1,6.75,3,9.25
01072146,5,7,6,-1,-1,-1,7.5,3.2,8.25
01072147,3.2,5,5.25,-1,-1,-1,4.25,2.4,6.5
01072148,7.6,6,5.75,-1,-1,-1,5.5,2,9
01072149,3.6,6.5,4,-1,-1,-1,6.75,2.6,7.75
01072150,6.2,8.75,8.25,-1,-1,-1,7.25,4.2,8.5
01072151,8.6,7.5,7.25,-1,-1,-1,6.75,7.6,8.75
01072152,5.2,3.75,3.75,-1,-1,-1,5.5,3.4,8
01072153,7.2,5.5,8.25,-1,-1,-1,7.25,3.6,7.75
01072154,8.4,8.75,8.25,-1,-1,-1,8,9.4,9
01072155,7.8,7,9.5,-1,-1,-1,8.25,5.2,9.5
01072156,7.4,5.5,5.75,-1,-1,-1,6.75,4.8,7.25
01072157,5.6,5.25,4.5,-1,-1,-1,6.5,3,7.75
01072158,7.2,7.75,7.5,-1,-1,-1,6.75,6,8.25
01072159,7.8,6.5,7.25,-1,-1,-1,7.75,8,8.5
01072160,3.8,4.5,5.75,-1,-1,-1,5,2.8,6.5
01072161,3.2,5.75,6,-1,-1,-1,5,2.8,7.5
01072162,6.6,7.25,7.5,-1,-1,-1,8,6,8.5
01072163,4.6,6.5,3.5,-1,-1,-1,7,4,8.75
01072164,3,6,8,-1,-1,-1,7,6.4,9.5
01072165,9,7.75,8.8,9.5,6.5,6.5,-1,-1,-1
01072166,7.2,5.5,5,6.25,3.25,4.25,-1,-1,-1
01072167,6.8,6.5,3.4,5.75,3,5.75,-1,-1,-1
01072168,7.8,4.75,5.8,5.75,2.5,6.75,-1,-1,-1
01072169,8.4,6.25,8.25,-1,-1,-1,7.75,4.6,7.5
01072170,6,7.75,5.25,-1,-1,-1,5,1.8,5.75
01072171,4,5.25,5,-1,-1,-1,4.5,3.8,6
01072172,3,5,7.25,-1,-1,-1,7.75,2.4,8.25
01072173,7.4,7,3,4.5,3.25,5,-1,-1,-1
01072174,7.8,7.5,6,-1,-1,-1,6.25,6.4,6.75
01072175,5.8,5.5,8.5,-1,-1,-1,7.5,2.4,8.75
01072176,7.4,7.5,3.8,3,2,5,-1,-1,-1
01072177,9.4,7.5,8.5,-1,-1,-1,7.75,9.4,6.75
01072178,7.4,5.5,3.4,5.5,3.75,5.25,-1,-1,-1
01072179,4.4,5,6,-1,-1,-1,5.75,3.2,8
01072180,4.8,5.5,6.5,-1,-1,-1,7.25,2.8,8.25
01072181,3.2,6.5,7.5,-1,-1,-1,5.25,1.4,8.25
01072182,2.4,5.5,5,-1,-1,-1,6.25,2.8,7
01072183,7.2,7,6.75,-1,-1,-1,8,3.4,9
01072184,3.2,7.25,6.5,-1,-1,-1,5.5,2.2,8
01072185,5.8,7,6,-1,-1,-1,7,4.6,8.5
01072186,5.8,7.5,6,-1,-1,-1,5.5,3.8,6.5
01072187,3.8,6.75,6.5,-1,-1,-1,5.25,3.8,5.5
01072188,8,7,3,5,3.25,6.75,-1,-1,-1
01072189,5.6,8.25,9.5,-1,-1,-1,9.25,5.6,8.5
01072190,4,4.75,3.75,-1,-1,-1,4.75,2.2,7
01072191,7.2,6,7,-1,-1,-1,6.25,4.4,8.25
01072192,7.4,6.5,8,-1,-1,-1,6.5,4.2,7
01072193,7.4,5.5,6.5,-1,-1,-1,7.75,3.8,7.75
01072194,6.6,5.5,4.5,-1,-1,-1,7.5,1.8,8.75
01072195,4.8,6,4,-1,-1,-1,5.5,2.4,8.5
01072196,7,7.5,7,-1,-1,-1,5,8.2,6.5
01072197,8.2,7.5,7.25,-1,-1,-1,7.25,8.6,8.5
01072198,8.4,7,4,-1,-1,-1,6,4.4,7
01072199,2.6,4.25,4,-1,-1,-1,5.75,4.2,6.25
01072200,6.2,6,4.5,-1,-1,-1,7.25,8.6,8.5
01072201,5.8,5.17,8.5,-1,-1,-1,6.25,3,8
01072202,8.2,8.5,8,-1,-1,-1,8.5,7.6,8
01072203,8.2,8,7.5,-1,-1,-1,7,7.4,7.75
01072204,9.2,6.25,6.6,7.5,3.25,7.5,-1,-1,-1
01072205,7.2,7.5,6.6,4.75,3.25,6.5,-1,-1,-1
01072206,8,8.25,8,-1,-1,-1,8,7.4,8.75
01072207,7.8,7.25,3.8,8,3.5,7.5,-1,-1,-1
01072208,7.8,8.5,8.5,-1,-1,-1,7.25,4.4,8.75
01072209,6.2,8.25,-1,-1,-1,-1,5.25,8,7.25
01072210,7.4,8.25,8,-1,-1,-1,6,6.6,9.25
01072211,7.2,7,7.25,-1,-1,-1,7.25,4.2,8.5
01072212,-1,-1,-1,-1,-1,-1,-1,-1,-1
01072213,6.4,7.25,9.5,-1,-1,-1,9,4.8,9.25
01072214,8.4,7.75,7.75,-1,-1,-1,8,9.2,9
01072215,4.4,6,8.5,-1,-1,-1,7.25,6,9.25
01072216,6,7,8.5,-1,-1,-1,7.75,5,9.5
01072217,4.2,3.5,6.25,-1,-1,-1,4.75,3,6.5
01072218,5,5.5,6.25,-1,-1,-1,3.75,2.6,7.25
01072219,7.6,7.75,7.5,-1,-1,-1,7.75,6.2,9.25
01072220,6,6.25,8.5,-1,-1,-1,6.75,6,7.75
01072221,7.8,8.5,7.25,-1,-1,-1,6.25,8.8,9
01072222,5.8,5.5,7.25,-1,-1,-1,7.25,2.8,9
01072223,4.8,7.5,6.25,-1,-1,-1,6,6.6,8.25
01072224,8.4,8,6.5,-1,-1,-1,6.75,9,9.25
01072225,5.8,3.5,4.25,-1,-1,-1,4.5,3.2,6.5
01072226,8.2,8.25,3.2,8,3.25,6.5,-1,-1,-1
01072227,6.2,5,8.25,-1,-1,-1,6.75,4.8,9.25
01072228,8,8.75,6.75,-1,-1,-1,7,8.2,8.25
01072229,8.6,8.25,6.5,-1,-1,-1,6,8.2,9.25
01072230,7.6,8.5,5.75,-1,-1,-1,7,8.2,7.75
01072231,8.4,8.75,7.25,-1,-1,-1,8,8.6,7.75
01072232,7.6,8.25,8.25,-1,-1,-1,7.25,8,9
01072233,6,5.25,6.5,-1,-1,-1,7,3.2,8.75
01072234,7.2,8.75,6.5,-1,-1,-1,5.5,6,9
01072235,-1,-1,-1,-1,-1,-1,-1,-1,-1
01072236,7.6,6,8.25,-1,-1,-1,6.25,3.4,8.75
01072237,6.6,6,6,-1,-1,-1,7.75,2.6,8.5
01072238,7.6,4.17,7.75,-1,-1,-1,6,3.6,8.5
01072239,9,9.25,7,9,4.25,6.25,-1,-1,-1
01072240,7.8,6.25,5.5,-1,-1,-1,6.25,8.2,8.25
01072241,5.4,6.75,3,-1,-1,-1,5,2.4,7.5
01072242,8.4,8.5,8.75,-1,-1,-1,8.5,8,9.5
01072243,2.2,3.5,5,-1,-1,-1,6,2.4,7.5
01072244,3.4,6.25,7.5,-1,-1,-1,6.25,3,6.25
01072245,4.8,4,7.5,-1,-1,-1,4.25,4.2,7.75
01072246,-1,-1,-1,-1,-1,-1,-1,-1,-1
01072247,5.6,7.6,6.25,-1,-1,-1,5.25,4.6,6
01072248,6.6,5.25,4.25,-1,-1,-1,5.5,4.8,5.5
01072249,6.8,7.75,8,-1,-1,-1,8,6.2,8.5
01072250,7,7.75,8,-1,-1,-1,6.75,5.4,9
01072251,8.2,6.75,4.4,5.75,6.25,7,-1,-1,-1
01072252,9.2,8.25,6.25,-1,-1,-1,7.5,9.4,8.75
01072253,5.2,5.75,5.5,-1,-1,-1,6.25,4.6,7
01072254,6.6,5,5.5,-1,-1,-1,5.5,3.6,8.5
01072255,5,8.25,5,-1,-1,-1,5,7.8,7.25
01072256,7.4,5.25,7.25,-1,-1,-1,6,6,7.25
01072257,7.2,6.5,7.25,-1,-1,-1,7,5.6,8.25
01072258,8.2,5.5,9.2,6,5.25,7.25,-1,-1,-1
01072259,4.8,5.25,6.5,-1,-1,-1,5,2.2,6.75
01072260,6.8,7,7.25,-1,-1,-1,7.25,2,7.75
01072261,5.8,7.75,5.75,-1,-1,-1,6.75,4.8,7.5
01072262,6.4,4,7.75,-1,-1,-1,6.25,7.4,8
01072263,5.4,7.5,7.75,-1,-1,-1,6.5,9,7.75
01072264,7.2,4.25,4.5,-1,-1,-1,5.25,3.6,8.75
01072265,5.8,9,-1,-1,-1,-1,7.5,9.25,8.5
01072266,6.8,8.5,6.5,-1,-1,-1,5.75,4.8,8.5
01072267,8.4,4.75,8.8,9.25,5,8,-1,-1,-1
01072268,7.2,6.41,5.5,-1,-1,-1,7.5,4,7.25
01072269,7.4,6.75,5.4,7,3.75,6.25,-1,-1,-1
01072270,8.2,8.25,6.75,-1,-1,-1,6.25,8.2,8
01072271,7.4,8,7,-1,-1,-1,6.75,6,8
01072272,8,8.5,8,-1,-1,-1,7.75,8.2,8.75
01072273,7.2,6.25,5.75,-1,-1,-1,6.25,5.6,8.75
01072274,7.6,6.75,6.5,-1,-1,-1,6.75,5.8,7.5
01072275,3.8,7.25,4.75,-1,-1,-1,4.75,4.6,7
01072276,4.2,4.5,5,-1,-1,-1,7.75,4.2,8.25
01072277,7.8,6.75,7,-1,-1,-1,8.5,5.4,9
01072278,6.6,7.25,4.25,-1,-1,-1,4.75,4,7.5
01072279,5.8,6,5,-1,-1,-1,5.75,3.6,8.75
01072280,7.8,9,7.75,-1,-1,-1,6.25,9.2,8.75
01072281,8.2,7,5.75,-1,-1,-1,6.25,5.8,8
01072282,8.2,8.5,6,7.5,4,5.75,-1,-1,-1
01072283,8.2,8.75,4.8,3.5,8.25,3.75,-1,-1,-1
01072284,7.6,8,3.8,5.5,5,5,-1,-1,-1
01072285,8.2,7.75,4.8,4.75,6.5,5.25,-1,-1,-1
01072286,6.8,3.25,2.4,4.75,2.5,4.75,-1,-1,-1
01072287,9.2,8.75,4.4,8.75,6.5,6.5,-1,-1,-1
01072288,8.4,8,4.8,7.25,3.5,6.25,-1,-1,-1
01072289,8.4,6,9.4,8.25,4.5,5.25,-1,-1,-1
01072290,2.6,3.25,6,4,2.5,5.25,-1,-1,-1
01072291,9.6,7.5,9.2,9.25,7.25,6.5,-1,-1,-1
01072292,8.6,8,4.8,7.75,4.25,5.5,-1,-1,-1
01072293,7.4,8,3,8.25,4,5.5,-1,-1,-1
01072294,8,8,3.4,5.5,4,8.25,-1,-1,-1
01072295,8.6,8.75,6,8,4,7.5,-1,-1,-1
01072296,8.4,7.5,5.8,8,5.25,7.58,-1,-1,-1
01072297,9.2,5.75,8.2,8.25,5.5,7.75,-1,-1,-1
01072298,7.8,4.75,7.6,7.25,4.75,7.5,-1,-1,-1
01072299,6.4,4.5,3.4,6.25,4.75,4.75,-1,-1,-1
01072300,8.4,6.25,4,5.25,5,6.25,-1,-1,-1
01072301,8.2,5.25,7.4,8,6.25,7.75,-1,-1,-1
01072302,5,4.5,2.6,3.25,2.5,5.5,-1,-1,-1
01072303,8.6,4,9.2,9.5,4.75,6.75,-1,-1,-1
01072304,7.6,3.75,3.4,4,3.5,5.25,-1,-1,-1
01072305,9,8,7.6,8.5,3,4,-1,-1,-1
01072306,8.8,8.75,5.8,8.25,3.75,5.75,-1,-1,-1
01072307,6.2,4.25,2.4,5.25,3.75,5.5,-1,-1,-1
01072308,7.8,5,2.8,5.25,3.5,6.25,-1,-1,-1
01072309,8.4,8.75,5.4,8.25,5.75,6.75,-1,-1,-1
01072310,8.2,2.25,3.8,5.75,3.75,3.75,-1,-1,-1
01072311,6,5.5,3.4,4.25,3.75,6.25,-1,-1,-1
01072312,7.2,4,7.8,6.5,4.25,7.25,-1,-1,-1
01072313,7.8,6.5,4.2,6.25,3.5,7,-1,-1,-1
01072314,8,4,6.6,8.25,4,5.75,-1,-1,-1
01072315,9,8.75,6.4,8.5,3.25,5.31,-1,-1,-1
01072316,7.2,3.25,3,4.75,4.75,5.75,-1,-1,-1
01072317,8,3.25,4.8,6.25,4,5,-1,-1,-1
01072318,8.6,4.75,8.2,8.75,4.25,5,-1,-1,-1
01072319,6.8,6.25,3.2,6,4,2.25,-1,-1,-1
01072320,8.4,6.5,2.2,7.25,5.25,4,-1,-1,-1
01072321,9,7.5,6,8.75,7,6.75,-1,-1,-1
01072322,6.8,5.75,3.4,6.5,4.25,6,-1,-1,-1
01072323,8.8,7.25,2.6,8,3.75,4.5,-1,-1,-1
01072324,8.6,8.5,4.6,8,3.75,5.5,-1,-1,-1
01072325,6.4,6,1.8,7.5,5,6.25,-1,-1,-1
01072326,7.4,6,2.8,5.75,4.5,5.75,-1,-1,-1
01072327,7.6,5.25,7.2,7,4,7,-1,-1,-1
01072328,9.2,4.75,8.8,9.5,6.25,8,-1,-1,-1
01072329,9,3.75,8.2,7.5,4.25,7,-1,-1,-1
01072330,9,8.75,5,9.25,4.75,5.5,-1,-1,-1
01072331,7.2,6,4.6,7.75,7,5.75,-1,-1,-1
01072332,7.2,7.25,2.6,7.75,3.5,5.75,-1,-1,-1
01072333,7,6.5,2.4,5.25,5,8,-1,-1,-1
01072334,7.4,6.75,2.8,6.5,4.25,5.25,-1,-1,-1
01072335,8,8.25,4,8.25,4.25,5.75,-1,-1,-1
01072336,2.4,6.25,5,-1,-1,-1,4.5,2.6,7.25
01072337,6.6,4.5,6.25,-1,-1,-1,6,2.4,7.75
01072338,4.2,7.5,7,-1,-1,-1,6.5,2.2,6.5
01072339,4.6,4.25,6.5,-1,-1,-1,5,3.4,8
01072340,8.4,8.75,7.25,-1,-1,-1,6.75,8.6,9
01072341,3.2,4.75,5,-1,-1,-1,5.25,3.6,7.75
01072342,6.2,4.75,6.5,-1,-1,-1,4.75,2.8,6.75
01072343,7.6,6.75,9,-1,-1,-1,8,3.4,9.75
01072344,5.2,6,5.25,-1,-1,-1,6.5,3.2,7
01072345,6.4,5.5,5,-1,-1,-1,5.5,2,8.75
01072346,5.8,3.5,5,-1,-1,-1,5.5,4,6.25
01072347,6.6,8.75,8.75,-1,-1,-1,8.5,5.6,8.25
01072348,8,7.25,7,-1,-1,-1,6.25,7.6,8.25
01072349,5,7.25,6,-1,-1,-1,6.25,3,8.5
01072350,7.2,8,9,-1,-1,-1,7.75,8.4,8
01072351,4.4,8,4.5,-1,-1,-1,5,3.4,7.25
01072352,4.4,6.25,6,-1,-1,-1,5,2.4,8
01072353,8,7,8.25,-1,-1,-1,8,6.6,8.5
01072354,6,7,5,-1,-1,-1,7.25,3.4,8
01072355,1.6,4.5,3,-1,-1,-1,3.75,2,4.5
01072356,5.2,6.25,6.5,-1,-1,-1,6.25,4.8,7.5
01072357,6.8,5.75,4.75,-1,-1,-1,6.25,2,8.25
01072358,7,7,6,-1,-1,-1,5.75,5,5.75
01072359,4.6,5.75,4,-1,-1,-1,4.75,2.6,7
01072360,4.2,8,9,-1,-1,-1,8,3.8,9.25
01072361,6.4,7.25,6.5,-1,-1,-1,6.5,6.6,8
01072362,8.2,8,7.75,-1,-1,-1,7.5,7.8,8.5
01072363,5.2,6.25,4.5,-1,-1,-1,6,4,9
01072364,5.4,5.75,6.75,-1,-1,-1,6.5,3.8,8.25
01072365,7.8,8.75,7.5,-1,-1,-1,7,8.6,8.75
01072366,6.6,8.5,9.75,-1,-1,-1,8.5,4.6,8.25
01072367,3.2,6.75,2.25,-1,-1,-1,5.75,2.6,6.5
01072368,5.8,8.25,6.75,-1,-1,-1,6,3.6,8
01072369,3.6,5.25,2.75,-1,-1,-1,4,1.6,7
01072370,7.8,9,6,-1,-1,-1,6.25,9.4,7.75
01072371,8.2,7.75,8.25,-1,-1,-1,8.5,7,8
01072372,6.2,6.25,6,-1,-1,-1,6.25,4.2,7.25
01072373,7.8,8.25,7.25,-1,-1,-1,7.5,8.8,8.25
01072374,5.8,5.75,6.25,-1,-1,-1,4.5,4,7.5
01072375,6.6,7.25,6.5,-1,-1,-1,7.5,3.6,9.25
01072376,7.6,8.5,4,-1,-1,-1,5.75,6.8,6.25
01072377,5.2,8,5.25,-1,-1,-1,5.25,4,7.25
01072378,4.4,3.5,4,-1,-1,-1,4.75,2.8,7
01072379,4.8,5.5,4.5,-1,-1,-1,4.75,3.4,6.75
01072380,7.8,8,5.5,-1,-1,-1,6.75,6.2,9
01072381,7,6.25,5.75,-1,-1,-1,5.75,2.8,8
01072382,5.2,7,4.5,-1,-1,-1,4.75,2.8,8.25
01072383,5.6,8.25,5,-1,-1,-1,7.25,3.8,8
01072384,5.2,6,6.75,-1,-1,-1,6,4.4,8.5
01072385,7.6,8.75,8.75,-1,-1,-1,8.25,7.6,9
01072386,7.4,7.75,5.75,-1,-1,-1,4.75,3.6,8.5
01072387,8.4,8.25,6,-1,-1,-1,6.75,4.8,6.5
01072388,6.8,8,7.25,-1,-1,-1,6.5,7.6,7.75
01072389,4.4,8,6.75,-1,-1,-1,6.75,6.6,8.5
01072390,8,9,4.75,-1,-1,-1,6,9.8,7
01072391,4.8,9,9.75,-1,-1,-1,8.25,4.6,9
01072392,7.4,6,5,-1,-1,-1,6,4.2,7.5
01072393,8.2,7,7.5,-1,-1,-1,7.75,7.4,8.75
01072394,5.8,5.5,4.75,-1,-1,-1,5.5,3.6,8.75
01072395,4.8,5,5.5,-1,-1,-1,4.5,2.8,7.75
01072396,7.4,8.5,7.75,-1,-1,-1,7.5,4.8,9.75
01072397,7.4,7.25,6.5,-1,-1,-1,7,6.4,7.25
01072398,6.4,7.75,6.25,-1,-1,-1,7.75,5.4,9
01072399,7.6,6,8.25,-1,-1,-1,8.25,5,8.5
01072400,5.2,8.25,9.5,-1,-1,-1,9,3.6,9.5
01072401,6,6.25,7,-1,-1,-1,5.75,6.6,8.5
01072402,6.6,7.5,8.5,-1,-1,-1,6.25,3.4,9.5
01072403,7,5.5,7,-1,-1,-1,6.5,3,8.25
01072404,4.2,5,4,-1,-1,-1,6.75,2.6,8.5
01072405,3.8,4,4.25,-1,-1,-1,4.5,3.2,6.25
01072406,7.6,5.5,8.25,-1,-1,-1,7.5,3,7.75
01072407,4.8,5.75,5.25,-1,-1,-1,6.5,3,8.5
01072408,4.8,7.5,6.75,-1,-1,-1,6.5,4.2,7.75
01072409,6.2,6,8.5,-1,-1,-1,8,3.2,9.5
01072410,8.4,8.25,9,-1,-1,-1,7.5,7.2,8
01072411,6.6,4.5,6.75,-1,-1,-1,6.75,2.4,8.25
01072412,8.6,5,6.75,-1,-1,-1,8,2.8,8
01072413,4.6,5.5,8,-1,-1,-1,5.5,2,8.25
01072414,7.4,4,4.75,-1,-1,-1,4.5,3.2,7.5
01072415,6.8,4.75,7.75,-1,-1,-1,7,2.8,8.75
01072416,6.4,5,7.75,-1,-1,-1,6.5,3.2,7.5
01072417,2.6,3.25,3.5,-1,-1,-1,5.5,3.6,4.5
01072418,4.4,6.75,6.75,-1,-1,-1,6.75,2.6,7.5
01072419,7.2,5,6,-1,-1,-1,4.75,1.4,7.25
01072420,5.8,4.75,5.5,-1,-1,-1,8,1.2,8
01072421,7.2,6.25,8,-1,-1,-1,7.25,4.2,8.25
01072422,6.6,6.5,6.5,-1,-1,-1,7.25,3.6,7
01072423,5.4,5.5,7,-1,-1,-1,7,3,7.75
01072424,6.4,7,7.5,-1,-1,-1,5.75,4.8,7.5
01072425,3,4.75,6.5,-1,-1,-1,6.5,3.4,7.25
01072426,6,5.5,7,-1,-1,-1,6.25,3.2,8.25
01072427,6.2,4.25,4.5,-1,-1,-1,5,2.4,6
01072428,5.2,4.25,6.25,-1,-1,-1,6.25,2.8,7.75
01072429,6.6,7.25,9.25,-1,-1,-1,8.75,4,8.5
01072430,7.8,7,6.5,-1,-1,-1,6.25,5.4,7.5
01072431,5.8,4.25,6.75,-1,-1,-1,7.25,3.2,7.5
01072432,3.4,4.25,5.75,-1,-1,-1,6.75,1.6,8.25
01072433,5,3.75,5.75,-1,-1,-1,6.25,3.4,6.75
01072434,7.2,6.75,6.75,-1,-1,-1,6.75,2.6,7.25
01072435,6.8,6.75,3.75,-1,-1,-1,7.25,3.2,8.5
01072436,6.6,7.25,7,-1,-1,-1,5.75,6.4,9
01072437,3.8,6,4.5,-1,-1,-1,4.75,2.6,6.5
01072438,6.8,6.75,5,-1,-1,-1,5.75,4.2,7.5
01072439,5.4,5.75,5.5,-1,-1,-1,5.5,2.4,5.5
01072440,6.6,6,6.5,-1,-1,-1,7.75,3.8,8.5
01072441,7.6,7.5,6.75,-1,-1,-1,6,8.6,8
01072442,5.6,3.75,6.25,-1,-1,-1,6.75,7.8,8.5
01072443,7.4,6.5,7.75,-1,-1,-1,8.25,2.8,7.25
01072444,7,8.5,7.5,-1,-1,-1,8,5.4,6.75
01072445,7.8,9,9.75,-1,-1,-1,9.25,6.2,8
01072446,3,5,4.5,-1,-1,-1,6.75,4.6,6.5
01072447,6.4,9.25,6,-1,-1,-1,5.75,5.8,7.25
01072448,4.2,8,7,-1,-1,-1,7.25,2.4,8.75
01072449,5.2,5.75,4.5,-1,-1,-1,6.5,3,6.75
01072450,5,7.25,7.5,-1,-1,-1,6,2.6,10
01072451,7.6,7.75,8.25,-1,-1,-1,8,5.6,8.75
01072452,4.2,3.5,3.75,-1,-1,-1,3.5,2.8,5.25
01072453,6.2,3.75,2,-1,-1,-1,6.5,3.2,6.75
01072454,4.6,6,5,-1,-1,-1,3.75,3.6,6.75
01072455,6.8,6.5,6.75,-1,-1,-1,6.5,5.2,8.5
01072456,8.2,6,6.5,-1,-1,-1,7,4,6.75
01072457,3.4,5.5,7.5,-1,-1,-1,7,3,8.25
01072458,7.6,7.75,9,-1,-1,-1,9.25,2.8,8.5
01072459,7.4,6.25,7,-1,-1,-1,8.25,4.4,8.75
01072460,6,7,5.25,-1,-1,-1,5.25,2.8,7.25
01072461,6.8,6,6.5,-1,-1,-1,7,4.4,8.25
01072462,6.6,7,8.25,-1,-1,-1,7,3.6,7.25
01072463,8.4,8,8.5,-1,-1,-1,7.25,5.4,8.5
01072464,5.2,6.75,5.5,-1,-1,-1,6.75,2.8,7.5
01072465,7.4,5.25,5.25,-1,-1,-1,4.75,3.8,7.25
01072466,5.4,6.58,5,-1,-1,-1,7,3,8.25
01072467,6.4,6.47,5,-1,-1,-1,6,4.4,6.5
01072468,6.2,6.5,8.75,-1,-1,-1,5.5,3.4,8.5
01072469,7,5.75,7.5,-1,-1,-1,7.5,3.6,9
01072470,6.4,7.75,7.25,-1,-1,-1,4.75,7.2,9.25
01072471,7.6,8.5,7,-1,-1,-1,7.25,7.4,8
01072472,6.4,6.75,5.75,-1,-1,-1,5.5,5.2,7.5
01072473,4.6,8,5.75,-1,-1,-1,6,4,7.25
01072474,7,6.75,7.2,6.75,4.75,6.5,-1,-1,-1
01072475,7.2,5.75,4.8,7,3.75,7,-1,-1,-1
01072476,7.6,2.25,6.2,7.25,3,5.75,-1,-1,-1
01072477,8.2,8,6.2,7.5,5.25,6,-1,-1,-1
01072478,8,8,2.2,8.5,2,3.5,-1,-1,-1
01072479,8,8.75,2.4,8.25,4.5,5.75,-1,-1,-1
01072480,7.2,5.5,2.4,6,3.5,6.25,-1,-1,-1
01072481,8.6,8.5,3.6,8.25,3.75,6.5,-1,-1,-1
01072482,8.2,3.5,4.4,4.75,4.5,5,-1,-1,-1
01072483,8.6,4,8.4,6.75,3.75,6.25,-1,-1,-1
01072484,7,5.5,3.2,5.75,3.75,7,-1,-1,-1
01072485,7.6,5.5,4.2,6.5,4.75,7,-1,-1,-1
01072486,9,8.75,6.2,7.25,4.25,7.25,-1,-1,-1
01072487,8.6,7.75,4.2,5.5,7.75,8.25,-1,-1,-1
01072488,8.2,5.5,9.2,8,5.25,6.75,-1,-1,-1
01072489,9.4,8.75,4.2,9,7.75,5.25,-1,-1,-1
01072490,8.2,9,7,8.5,5,6.75,-1,-1,-1
01072491,8.6,7.75,3.8,7,5.5,6,-1,-1,-1
01072492,5.2,4.75,4,4,4.25,6.5,-1,-1,-1
01072493,8.2,5.25,4.8,7.75,3.75,5,-1,-1,-1
01072494,8.4,9.5,3.2,6.25,4.75,6.5,-1,-1,-1
01072495,7.6,7.5,7,-1,-1,-1,7.5,8.4,8.25
01072496,7.8,8.5,7.8,6.25,4.5,5.5,-1,-1,-1
01072497,8.2,3,6.8,8.25,4.25,6.75,-1,-1,-1
01072498,8.6,7.5,6,8,5,7,-1,-1,-1
01072499,7.6,8.75,5.6,4,7.75,6.5,-1,-1,-1
01072500,7.8,8.75,6.2,7.25,4.5,6,-1,-1,-1
01072501,5,7.25,8.5,-1,-1,-1,9,4.8,8
01072502,4,4.75,1.25,-1,-1,-1,6.25,2.8,5.75
01072503,7.2,7,5.25,-1,-1,-1,6.25,7.4,7.75
01072504,3,6,4.5,-1,-1,-1,5.75,3,7.25
01072505,7.6,8.5,4.75,-1,-1,-1,6.75,6.8,8.25
01072506,6.8,7.5,8.25,-1,-1,-1,8,5.8,9.25
01072507,7.2,6.5,5.5,-1,-1,-1,7.25,3,6.75
01072508,7,8,5,-1,-1,-1,6.25,6,7.25
01072509,6.4,5.5,4.25,-1,-1,-1,5.5,3.2,5.25
01072510,6.4,8.25,6,-1,-1,-1,7.25,6.8,9
01072511,8.2,8.75,7.25,-1,-1,-1,7.75,7.6,8.75
01072512,8.2,8.25,9,-1,-1,-1,8.5,7.8,9
01072513,5.6,7.75,4.75,-1,-1,-1,5,4.4,8.25
01072514,5,6,4.75,-1,-1,-1,7.25,2,8.25
01072515,4,6.5,4.5,-1,-1,-1,5,2.8,7.75
01072516,3.4,7,5.5,-1,-1,-1,5.75,4.8,6.5
01072517,6.6,5,3.25,-1,-1,-1,6.75,1.8,7
01072518,7.2,6.75,4.5,-1,-1,-1,4.25,4.4,7.75
01072519,8.2,4.5,9.25,-1,-1,-1,9.25,4.8,8.25
